M,N,Initial,Final,Diff,RI
7,5,0.4363402676985335,0.4131178480280794,0.02322241967045413,5.322089522688391
7,5,0.3834811891237854,0.3034767825854283,0.08000440653835711,20.862667793734246
7,5,0.35944424510814604,0.32619361664758456,0.03325062846056148,9.250566371025737
7,5,0.43365358479575716,0.3534847944000162,0.08016879039574099,18.48682755234204
7,5,0.4834828431200235,0.4250125605769388,0.05847028254308467,12.09355892874353
7,5,0.2902990975233193,0.25806109531097604,0.03223800221234324,11.10509901249473
7,5,0.3095302364433956,0.2974747200723079,0.012055516371087704,3.8947782645112667
7,5,0.24937787134791198,0.23139962668807337,0.017978244659838605,7.209238158407729
7,5,0.4528165882296591,0.4367335503738903,0.01608303785576881,3.551777535060582
7,5,0.6288183815333728,0.5151965539065543,0.1136218276268185,18.06910086657324
7,5,0.3694365615161147,0.3516603741201557,0.017776187395958987,4.811702264390958
7,5,0.4352618779757164,0.40808017021196824,0.027181707763748175,6.244908901777211
7,5,0.3855148223375674,0.366025942069714,0.019488880267853392,5.055286888758947
7,5,0.5453385201151023,0.5174067548073936,0.02793176530770869,5.121913137882365
7,5,0.3515585165056941,0.29699063594448494,0.05456788056120915,15.521706344532639
7,5,0.3803939005048314,0.3039563793365569,0.07643752116827451,20.094307786437202
7,5,0.5384327562056068,0.44739730191274,0.0910354542928668,16.90748812059715
7,5,0.418428434826779,0.3654075169131458,0.05302091791363317,12.671442354433387
7,5,0.4287053500219357,0.34013797236187404,0.08856737766006167,20.65926577672285
7,5,0.396758176809365,0.3498160583774383,0.046942118431926694,11.831418021280383
7,5,0.36368101760002647,0.3314399486360682,0.032241068963958286,8.865205332057435
7,5,0.4706784828117957,0.41648504546645965,0.05419343734533605,11.513897346993383
7,5,0.3688558894101672,0.3159204283162432,0.05293546109392405,14.351258205087216
7,5,0.3281975403045296,0.30725503891330413,0.020942501391225443,6.381065918956373
7,5,0.3947144199909547,0.3391281058541761,0.055586314136778614,14.082666181299492
7,5,0.42211405557143755,0.38775322108280236,0.034360834488635195,8.140177763594998
7,5,0.29422211273529325,0.2669715839413542,0.027250528793939077,9.261890121241814
7,5,0.5047477889990671,0.4693854356791206,0.03536235331994653,7.005945165222285
7,5,0.45435242638909434,0.43351024278275535,0.020842183606338993,4.587228414730716
7,5,0.3725522277786973,0.31929890613314643,0.053253321645550855,14.294189559157404
7,5,0.33849794873031347,0.3222843033902014,0.01621364534011205,4.789879938985896
7,5,0.45799242563146436,0.4128044234428874,0.04518800218857694,9.866539195767977
7,5,0.3057002568946427,0.2832300971873135,0.022470159707329185,7.350389540259155
7,5,0.5528031449636269,0.4114407330292689,0.141362411934358,25.571926140843374
7,5,0.4715719567550302,0.4455270301857544,0.026044926569275817,5.523001568731005
7,5,0.47214895344610186,0.41533741222681186,0.056811541219289996,12.032546255717861
7,5,0.3718704613917664,0.3451442255765328,0.02672623581523359,7.1869746564993875
7,5,0.5220024360609115,0.4446686507792704,0.07733378528164103,14.814832257337798
7,5,0.446804029316386,0.35718880627250316,0.08961522304388286,20.05694155914281
7,5,0.3690886138133778,0.3148017789599717,0.05428683485340613,14.708347215732635
7,5,0.44812398785706137,0.43114210758757004,0.016981880269491323,3.7895494839941604
7,5,0.39135956360683655,0.30710126570490437,0.08425829790193218,21.529638147945924
7,5,0.38674180251673224,0.327066328314218,0.059675474202514234,15.430313923701693
7,5,0.3026484886330998,0.22962670825425197,0.07302178037884782,24.12758798454533
7,5,0.38516331994502007,0.35945138666079157,0.025711933284228494,6.675592392312625
7,5,0.4002031460336829,0.37329145577234735,0.026911690261335552,6.7245074228053525
7,5,0.2293238140590414,0.21209942234612003,0.017224391712921366,7.510947689229867
7,5,0.33010529099583397,0.30045382417318384,0.02965146682265013,8.98242701084859
7,5,0.5204285844797264,0.46292267588389263,0.057505908595833766,11.04972138556197
7,5,0.4827054794381264,0.43464766108561226,0.04805781835251416,9.955929733479284
7,5,0.3525163274131696,0.30784941313407466,0.044666914279094916,12.670878142544218
7,5,0.45665648731431585,0.36931061536612025,0.0873458719481956,19.127259630514256
7,5,0.34107221218220024,0.30154527566760253,0.03952693651459771,11.589022823554586
7,5,0.42401397546292496,0.3580057312674382,0.06600824419548679,15.567469002270759
7,5,0.4087944421799084,0.35916675953709487,0.04962768264281353,12.140009139598975
7,5,0.3205112690591444,0.24560892231646123,0.07490234674268317,23.36964530531416
7,5,0.47192360898342717,0.43857225270282924,0.03335135628059793,7.067109092600865
7,5,0.3710609378832859,0.3165624758635062,0.0544984620197797,14.687199986790777
7,5,0.4021636251491011,0.32904192997643955,0.07312169517266154,18.18207580199524
7,5,0.46655569079622783,0.371086588063881,0.09546910273234682,20.46253097233011
7,5,0.47208185652898005,0.43455830685781494,0.03752354967116511,7.948526119402266
7,5,0.36182588029373663,0.34944130894780395,0.012384571345932682,3.4227986499690592
7,5,0.318806452666874,0.2933090716934249,0.025497380973449113,7.997761889748115
7,5,0.37567209993040346,0.34185970525859377,0.03381239467180969,9.000507271653584
7,5,0.38410809291608206,0.3429918591327286,0.04111623378335344,10.704339362184776
7,5,0.43891920368801374,0.41520908078422153,0.023710122903792208,5.401933363718917
7,5,0.3598178856146018,0.27131242810436096,0.08850545751024086,24.597292421710904
7,5,0.4165586885250642,0.30092100522601084,0.11563768329905338,27.760237989153236
7,5,0.3024979782585467,0.26939525905223743,0.03310271920630925,10.9431208092294
7,5,0.4153187060821932,0.38278764395942433,0.03253106212276885,7.832794826325696
7,5,0.30292098770917036,0.2838881059233827,0.01903288178578766,6.2831175646571005
7,5,0.4979118975789706,0.4486590473175603,0.0492528502614103,9.891880571823174
7,5,0.2869131947808388,0.26941342039844446,0.017499774382394362,6.099327148673563
7,5,0.36940501863379804,0.2874101300089784,0.08199488862481963,22.19647392124457
7,5,0.3639908248754953,0.3305238861698976,0.03346693870559769,9.194445688856364
7,5,0.46053776944893227,0.39853647878268983,0.06200129066624244,13.462802571096741
7,5,0.6624174782429568,0.6031515688819056,0.05926590936105125,8.94691207699597
7,5,0.4681439786697486,0.42925333386939524,0.03889064480035337,8.307411089823866
7,5,0.345850301485622,0.3007645300253021,0.04508577146031989,13.036209963285007
7,5,0.49435576729461517,0.44149721200591935,0.05285855528869582,10.692411980539179
7,5,0.5247976345921238,0.47438035902426656,0.050417275567857245,9.606993676151358
7,5,0.361073945485745,0.3157834112877776,0.045290534197967414,12.54328504291248
7,5,0.43588558742541567,0.39076687447367564,0.045118712951740025,10.351044919433196
7,5,0.390222222965163,0.3661096691567458,0.024112553808417203,6.179185189709159
7,5,0.4248690063177776,0.3965619486258342,0.02830705769194336,6.66253769303457
7,5,0.4744914937777561,0.40668236176294126,0.06780913201481487,14.290905717811567
7,5,0.3350653610686619,0.30704800460716414,0.028017356461497778,8.361758545299596
7,5,0.2819925968906541,0.22166349436426347,0.06032910252639062,21.393860403287086
7,5,0.35811536691041246,0.3141459384630548,0.043969428447357684,12.278006617447737
7,5,0.5333313967731379,0.4822095887091018,0.0511218080640361,9.58537381698188
7,5,0.5502386379959016,0.4980576877550872,0.05218095024081437,9.483330801862563
7,5,0.4049548472866783,0.36341806897974793,0.041536778306930366,10.257138193366377
7,5,0.43758402336201346,0.4032515621653877,0.03433246119662575,7.845912867852237
7,5,0.3578276199537076,0.3167583933326834,0.04106922662102419,11.477377466372591
7,5,0.4478509702321294,0.4102664227795812,0.03758454745254819,8.392199626823947
7,5,0.4273164742112709,0.34465362228384167,0.08266285192742923,19.344644289693267
7,5,0.2976003999384806,0.23535851577628533,0.062241884162195255,20.91458350696497
7,5,0.5335491202663069,0.4422759700317463,0.09127315023456056,17.1067942514841
7,5,0.3439411719382669,0.32753912665843943,0.01640204527982747,4.768851948545268
7,5,0.41976622151846665,0.3813474105849317,0.03841881093353494,9.152430320514675
